fecha_carga;Nombre_encuestador;Fecha_encuesta;Datos_muestra;Escuela ;Especialidad;Turno;Año;Curso;Sexo;Edad;Diabetes;Celiaco;Hora;Comida;Bebida;Hora;Comida;Bebida;Hora;Comida;Bebida;Hora;Comida;Bebida;Hora;Comida;Bebida;Hora;Comida;Bebida;Hora;Comida;Bebida;Comensalidad-Aspectos Sociales y organizativos familiares para la alimentación [Desayuno];Comensalidad-Aspectos Sociales y organizativos familiares para la alimentación [Almuerzo];Comensalidad-Aspectos Sociales y organizativos familiares para la alimentación [Merienda];Comensalidad-Aspectos Sociales y organizativos familiares para la alimentación [Cena];Alimento Fuente [Azúcares/Hidratos de carbono];Alimento Fuente [Proteínas];Alimento Fuente [Aceites];Alimento Fuente [Fibras];Lees_información_nutricional_de_envases;Entendes_que_significan;De_que_envases_provienen;Grupo_alimentario;consumiste_alcohol;consumiste_alcohol_este_anio;consumiste_alcohol_este_mes;consumiste_alcohol_esta_semana;tuviste_un_exceso_de_alcohol;como_te_sentis_con_tu_pes;como_te_sentis_en_funcion_del_peso;Tipo_frecuencia_actividades_físicas_Deportes;Tipo_frecuencia_actividades_físicas_Danza;Tipo_frecuencia_actividades_físicas_Gimnasio;Tipo_frecuencia_actividades_físicas_Caminatas;Tipo_frecuencia_actividades_físicas_Otras;Observaciones
28/11/2017 17:03:05;Tamara Osorio;23/11/2017;GwU;ESRN 9;CB;Tarde;1;1;Femenino;13;No;No;08:30:00;bizcochitos ;te;12:00:00;milanesas_con_ensalada;jugo;16:00:00;gelatina_con_frutas_ensalada_de_frutas;;17:00:00;sandwich_de_miga;;18:00:00;mandarina;;21:30:00;hamburguesa_de_pollo_con_ensalada_de_zanahoria;jugo;22:30:00;chocolate;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Tallarines;Verduras;Pescado;Semillas de girasol;A veces;Entiendo en partes;Papas fritas;Otros;Sí;No;No;No;No;6;6;Lunes, MIércoles, Sábado;;;;;
28/11/2017 17:04:09;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Femenino;17;No;No;10:00:00;te_con_pan_con_dulce;te;13:00:00;guiso_de_lentejas_papa_cebolla_zapallo;jugo_coca;15:30:00;girasoles_tutucas;agua;21:00:00;caramelos_alfajor;jugo_de_naranja;01:30:00;pan_con_queso;gaseosa;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;Tallarines;Pescado;Semillas de girasol;Verduras;A veces;Entiendo en partes;Papas fritas;Otros;Sí;Sí;Sí;Sí;Sí;10;5;;;;;Lunes, MIércoles, Viernes, Sábado;
28/11/2017 17:05:32;Guillermo Alejandro Mora;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Femenino;17;;Sí;07:00:00;tostadas_con_queso;cafe;16:00:00;pancho_con_papas_fritas;gaseosa;20:00:00;tostadas;cafe;13:00:00;arroz_con_carne;jugo;23:00:00;masitas;mate;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en otro lugar?, ¿Cocinó otra persona?;Tallarines;Pescado;Semillas de girasol;Verduras;A veces;Entiendo todo;Arroz;Otros;No;No;No;No;No contesta;2;5;;;;Lunes, Martes, MIércoles, Jueves, Viernes, Sábado, Domingo;MIércoles, Jueves, Sábado;
28/11/2017 17:09:50;Tamara Osorio;23/11/2017;GwU;ESRN 9;CB;Tarde;1;1;Femenino;14;No;No;12:00:00;guiso;Agua;16:00:00;gelatina_con_fruta_ensalada_de_fruta;;17:00:00;sandwich_de_miga;;;;;;;;;;;;;;;¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en la escuela?, ¿Compraste?;;Semillas de girasol;Verduras;Tallarines;Pescado;Nunca;Entiendo en partes;Papas fritas;Otros;Sí;Sí;Sí;No;No;2;9;;;;Sábado, Domingo;;
28/11/2017 17:10:58;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Masculino;17;No;No;11:00:00;torta_fritas;cafe_agua_jugo;12:45:00;tallarines_con_tuco_de_pollo_cebolla_morron_zanahoria;agua;18:45:00;masitas;te_agua;22:00:00;milanesa_de_pollo_zanahoria;jugo_de_manzana_agua;;;;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Compraste?;Verduras;Pescado;Semillas de girasol;Tallarines;A veces;Entiendo en partes;Arroz;Otros;Sí;No;No;No;No;6;6;;;;Martes, Viernes, Sábado;;
28/11/2017 17:13:45;Guillermo Alejandro Mora;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Masculino;17;No;No;12:00:00;pan_con_fiambre_con_mayonesa;jugo;15:00:00;pan_con_queso;leche;22:00:00;guiso_de_fideos_con_papa_y_zanaoria;;;;;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Compraste?;¿Comistes con otros?, ¿Comiste en la escuela?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Semillas de girasol;Pescado;Verduras;Tallarines;Nunca;No entiendo nada;Arroz;Otros;Sí;Sí;Sí;Sí;No;10;5;MIércoles;;Martes, Jueves;;;
28/11/2017 17:19:52;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Femenino;17;No;No;10:00:00;galletitas_de_salvado_con_dulce_de_leche_queso_caramelo;agua_jugo_te;20:00:00;huevo_hervido;mate_agua;22:00:00;arroz_al_pesto_con_aji;agua;;;;;;;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;;¿Comistes con otros?, ¿Comiste en la escuela?, ¿Cocinó otra persona?;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;Tallarines;Pescado;Semillas de girasol;Verduras;A veces;Entiendo en partes;Papas fritas;Otros;Sí;Sí;Sí;No;No;4;4;Martes;;Lunes, MIércoles, Viernes;Sábado;Domingo;
28/11/2017 17:22:07;Guillermo Alejandro Mora;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Masculino;15;No;No;09:00:00;galletitas;te;13:00:00;fideos_con_tuco;gaseosa ;16:00:00;grisines_galletitas;jugo;22:30:00;huevo_revuelto_salchichas;gaseosa;;;;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comiste solo?, ¿Comiste en la escuela?, ¿Compraste?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Tallarines;Verduras;Semillas de girasol;Pescado;A veces;Entiendo en partes;Papas fritas;Vegetariano;Sí;Sí;Sí;Sí;No;1;8;;;;;Lunes, Martes, MIércoles, Jueves, Viernes, Sábado, Domingo;
28/11/2017 17:22:43;Tamara Osorio;23/11/2017;GwU;ESRN 9;CB;Tarde;1;1;Masculino;16;No;No;06:30:00;huevos_fritos_con_pan_casero;limonada;16:00:00;fideos_con_queso;agua_tonica;22:30:00;sopa_de_fideos_con_verduras;agua_tonica;;;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comiste solo?, ¿Comiste en la escuela?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Verduras;Semillas de girasol;Tallarines;Pescado;Nunca;Entiendo todo;Papas fritas;Vegetariano;Sí;Sí;Sí;No;No;0;0;Martes, Jueves;;Lunes, Martes, MIércoles, Jueves, Viernes, Sábado, Domingo;Lunes, Martes, MIércoles, Jueves, Viernes, Sábado, Domingo;Lunes, Martes, MIércoles, Jueves, Viernes, Sábado, Domingo;
28/11/2017 17:29:28;Guillermo Alejandro Mora;23/11/2017;TrB;ESRN 9;ECYAD;Mañana;3;1;Femenino;18;No;No;10:00:00;Pan;mate;12:00:00;Estofado;jugoo;15:00:00;pan_con_dulce_de_leche;;21:00:00;fiambre_milanesa;jugo;;;;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comiste solo?, ¿Comiste en la escuela?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Semillas de girasol;Tallarines;Pescado;Verduras;Nunca;Entiendo en partes;Leche;Otros;Sí;Sí;Sí;No;No;5;5;;;;;;
28/11/2017 17:33:39;Tamara Osorio;23/11/2017;GwU;ESRN 9;CB;Tarde;1;1;Femenino;15;No;No;10:00:00;galletita;cafe;12:00:00;arroz_graneado_medallones_de_pescado;jugo;15:00:00;pochoclos_caramelos;gaseosa;19:00:00;pan_dulce_queso;te;22:00:00;milanesa_de_pollo_con_ensalada_de_tomate_lechuga_y_pepino;agua;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comiste en casa?, ¿Cocinó otra persona?;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Tallarines;Pescado;Semillas de girasol;Verduras;A veces;Entiendo en partes;Arroz;Otros;Sí;Sí;Sí;Sí;No;7;7;Martes, Jueves;;;;Martes, Jueves, Domingo;
28/11/2017 17:33:42;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Femenino;17;No;No;11:00:00;galletitas_media_tarde_con_dulce_de_leche_guiso_de_verduras_con_esparragos_zapallo_zanahoria_carne;te_mate;14:30:00;pan_con_queso;te;18:40:00;fiambre_con_pan_y_mayonesa;;22:00:00;sopa_de_esparragos_y_fideos;gaseosa;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en la escuela?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;Semillas de girasol;Pescado;Tallarines;Verduras;A veces;Entiendo en partes;Leche;Otros;No;Sí;No contesta;No contesta;No;2;8;;;;Lunes, MIércoles;;
28/11/2017 17:38:08;Guillermo Alejandro Mora;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Femenino;18;No;No;15:00:00;pizza_casera_con_papas_y_chisitos;gaseosa;17:00:00;masitas;terere;19:00:00;pan_con_manteca;mate_jugo;21:30:00;pochoclos;jugo;;;;;;;;;;¿Comiste solo?;¿Comiste solo?;¿Comiste en la escuela?, ¿Comiste en otro lugar?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;Semillas de girasol;Verduras;Semillas de girasol;Tallarines;Nunca;Entiendo en partes;Leche;Otros;Sí;Sí;Sí;Sí;No;10;5;;;Lunes, Martes, MIércoles, Jueves, Viernes, Sábado, Domingo;;;
28/11/2017 17:38:50;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Masculino;17;No;No;11:00:00;ensalada_de_lechuga_tomate_con_salchichas;gaseosa;15:30:00;pan;te;19:00:00;facturas;mate;;;;;;;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;;¿Comistes con otros?, ¿Comiste en la escuela?, ¿Cocinó otra persona?;¿Comiste solo?, ¿Cocinaste vos?;Semillas de girasol;Pescado;Tallarines;Verduras;A veces;Entiendo en partes;Leche;Otros;Sí;Sí;No;No;No contesta;5;7;;;;;;
28/11/2017 17:45:15;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Femenino;18;No;No;08:30:00;huevo_pan;agua;12:55:00;fideos_con_tuco;agua;15:20:00;pan_con_queso;mate_cocido_agua;;;;;;;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en la escuela?, ¿Cocinó otra persona?;;Semillas de girasol;Pescado;Verduras;Tallarines;A veces;Entiendo todo;Papas fritas;Otros;Sí;Sí;Sí;Sí;No;6;5;;;Martes, Jueves;Jueves, Viernes, Sábado, Domingo;;
28/11/2017 17:46:07;Guillermo Alejandro Mora;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Masculino;18;No;No;08:30:00;tostada_con_manteca;mate;13:30:00;guiso_de_arroz_papa_arbejas_zanahorias_pollo;agua;21:00:00;fiambre;cerveza;;;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;;¿Comistes con otros?, ¿Comiste en casa?, ¿Compraste?;Semillas de girasol;Verduras;Pescado;Tallarines;Nunca;Entiendo en partes;Arroz;Otros;Sí;Sí;Sí;Sí;Sí;8;5;;;;Lunes, Martes, MIércoles, Jueves, Viernes, Sábado, Domingo;;
28/11/2017 17:49:36;Tamara Osorio;23/11/2017;GwU;ESRN 9;CB;Tarde;1;1;Femenino;13;No;No;10:00:00;pan_con_pate;cafe;13:00:00;milanesa_fritas_de_carne_con_pure;gaseosa;11:00:00;ensalada_de_tomate;jugo;;;;;;;;;;;;;¿Comiste solo?, ¿Comiste en casa?, ¿Comiste en la escuela?, ¿Comiste en otro lugar?, ¿Cocinaste vos?, ¿Cocinó otra persona?, ¿Compraste?;¿Comistes con otros?, ¿Comiste en casa?, ¿Comiste en la escuela?, ¿Comiste en otro lugar?;¿Comiste solo?, ¿Comiste en casa?, ¿Comiste en la escuela?, ¿Comiste en otro lugar?;¿Comistes con otros?, ¿Comiste en casa?, ¿Comiste en la escuela?, ¿Comiste en otro lugar?;;Verduras;;Pescado;A veces;Entiendo en partes;Leche;Otros;Sí;Sí;Sí;Sí;No;1;5;;MIércoles;;Sábado;Lunes, Viernes, Domingo;No entendió consigna 2. No completo punto 3.
28/11/2017 17:52:22;Guillermo Alejandro Mora;23/11/2017;TrB;ESRN 9;ECYAD;Tarde;3;1;Masculino;17;No;No;09:00:00;galletas;agua_mate;14:00:00;;mate;18:30:00;budin;te;;;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en otro lugar?, ¿Cocinaste vos?;;¿Comiste solo?, ¿Comiste en otro lugar?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en otro lugar?, ¿Cocinaste vos?;Tallarines;Pescado;Semillas de girasol;Verduras;A veces;Entiendo todo;Arroz;Otros;Sí;Sí;Sí;Sí;No contesta;5;6;Sábado, Domingo;;Viernes, Sábado;MIércoles;Lunes, Martes, MIércoles, Jueves, Viernes, Sábado, Domingo;
28/11/2017 17:52:46;Samanta Vilches;22/11/2017;NnR;ESRN 116;AUDIO;Tarde;4;1;Femenino;16;No;No;12:30:00;milanesa_de_pollo_con_pure_de_papa;agua_jugo;15:30:00;pan_con_queso;mate_cocido;21:00:00;polenta_con_leche;;23:00:00;arroz_con_caballa_y_tomate;jugo;;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en la escuela?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;Semillas de girasol;Verduras;Pescado;Tallarines;A veces;Entiendo todo;Leche;Otros;Sí;Sí;Sí;Sí;No;8;6;;Lunes, Martes, Jueves, Viernes, Sábado;;Lunes, MIércoles, Sábado, Domingo;Lunes, Martes, MIércoles, Jueves, Viernes, Sábado, Domingo;
28/11/2017 17:56:59;Tamara Osorio;23/11/2017;GwU;ESRN 9;CB;Tarde;1;1;Masculino;13;No;No;10:30:00;tostadas;mate_cocido;12:45:00;milanesa;agua;19:45:00;pan;te;23:00:00;fideos;agua;;;;;;;;;;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinaste vos?;¿Comistes con otros?, ¿Comiste en casa?, ¿Cocinó otra persona?;Semillas de girasol;Verduras;Tallarines;Pescado;Nunca;Entiendo en partes;Papas fritas;Otros;No;No;No;No;No;7;5;Lunes, Martes, MIércoles, Jueves, Sábado, Domingo;;;;;
